RowNo,Address,FLR_balance_dec,FLR_balance_hex
2,"0x1000000000000000000000000000000000000006","3,900,330,239.094 370 633 065 000 000","0x0c9a470dee8dcc8239ad6c40"
3,"0x1000000000000000000000000000000000000004","22,101,871,354.868 100 254 035 000 000","0x476a3d4ef278dc3746d6bac0"
4,"0x1000000000000000000000000000000000000005","20,000,000,000.000 000 000 000 000 000","0x409f9cbc7c4a04c220000000"
5,"0x628B0E1A5215fb2610347eEDbf9ceE68043D7c92","2,522,719,777.932 457 125 400 000 000","0x0826beb130b933d81ba3b600"

7,"0x81D2A8b4BbF71F9e9d3284BA0Da90c636f3803f7","1,817,386,362.810 507 198 750 000 000","0x05df4e8823e66100df0c0380"
8,"0x8c862EE155a14cb15A18e96684Bbd45ed3E21c23","1,817,386,362.810 507 198 750 000 000","0x05df4e8823e66100df0c0380"
9,"0x25B2E9CAf1993439faEDE57E2eBC1321a27fb31d","1,817,386,362.810 507 198 750 000 000","0x05df4e8823e66100df0c0380"
10,"0xf3Ce3535Cd6c71A6290Cf2134AE936ac6C369861","1,817,386,362.810 507 198 750 000 000","0x05df4e8823e66100df0c0380"
11,"0x0f253Ea4aA19b319038ce6669f62E74ef34Bb35B","1,817,386,362.810 507 198 750 000 000","0x05df4e8823e66100df0c0380"
12,"0xcc4620bb63F22a439779181406eE1256192ABc5A","1,817,386,362.810 507 198 750 000 000","0x05df4e8823e66100df0c0380"
13,"0xdA02ee21d047A1cfecDb09866Ed37dB93f310dB7","1,817,386,362.810 507 198 750 000 000","0x05df4e8823e66100df0c0380"
14,"0xfF964a10041E0bD830dbC9b310014096355E7F68","1,817,386,362.810 507 198 750 000 000","0x05df4e8823e66100df0c0380"
15,"0x09Da958D3104890F77d97D1436A1E3567ea86644","1,817,386,362.810 507 198 750 000 000","0x05df4e8823e66100df0c0380"
16,"0xD935f3B878Cac8d0E549c6CCe5aFdf7BFA63E6cE","1,817,386,362.810 507 198 750 000 000","0x05df4e8823e66100df0c0380"

18,"0x9298Bb6E42d6950dcdcccB1309CB6ab5fD29ad63","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
19,"0x4bd02eF1D3A241c9Bf4A5129c5350D0449F5D3d6","500,000,000.000 000 000 000 000 000","0x019d971e4fe8401e74000000"
